"","ID","task","profile","Affiliation.of.the.terrorist","Legal.status.of.the.terrorist","Terrorist.tactic","Motivation.for.the.terrorist.attack","Number.of.deaths","Probability.of.the.attack","selected","progress","finished","durationinseconds"
"53",6,3,2,"Member of a terror cell - operating within an organized group","Immigrant","Vehicle-ramming attack","Right-wing extremism","100","0.1%",NA,19,0,26
"54",6,1,2,"Lone actor - operating alone","Immigrant","Stabbing","Jihadism","1","10%",NA,19,0,26
"55",6,2,1,"Member of a terror cell - operating within an organized group","Citizen","Vehicle-ramming attack","Jihadism","100","0.1%",NA,19,0,26
"56",6,1,1,"Member of a terror cell - operating within an organized group","Immigrant","Vehicle-ramming attack","Right-wing extremism","10","10%",NA,19,0,26
"57",6,5,1,"Lone actor - operating alone","Immigrant","Suicidal bombing","Jihadism","1","1%",NA,19,0,26
"58",6,4,2,"Lone actor - operating alone","Immigrant","Shooting","Right-wing extremism","1","10%",NA,19,0,26
"59",6,5,2,"Lone actor - operating alone","Immigrant","Suicidal bombing","Jihadism","1","10%",NA,19,0,26
"60",6,3,1,"Lone actor - operating alone","Citizen","Shooting","Right-wing extremism","1","1%",NA,19,0,26
"61",7,5,1,"Member of a terror cell - operating within an organized group","Citizen","Shooting","Right-wing extremism","1","1%",0,100,1,191
"62",7,2,1,"Member of a terror cell - operating within an organized group","Immigrant","Non-suicidal bombing","Right-wing extremism","100","1%",1,100,1,191
"63",7,2,2,"Member of a terror cell - operating within an organized group","Citizen","Vehicle-ramming attack","Right-wing extremism","100","1%",0,100,1,191
"64",7,3,2,"Lone actor - operating alone","Citizen","Non-suicidal bombing","Right-wing extremism","100","1%",1,100,1,191
"65",7,5,2,"Lone actor - operating alone","Citizen","Non-suicidal bombing","Jihadism","100","1%",1,100,1,191
"66",7,4,1,"Member of a terror cell - operating within an organized group","Immigrant","Vehicle-ramming attack","Right-wing extremism","10","0.1%",0,100,1,191
"67",7,4,2,"Member of a terror cell - operating within an organized group","Immigrant","Vehicle-ramming attack","Jihadism","10","10%",1,100,1,191
"68",7,3,1,"Lone actor - operating alone","Immigrant","Non-suicidal bombing","Right-wing extremism","10","0.1%",0,100,1,191
"69",7,1,2,"Lone actor - operating alone","Immigrant","Shooting","Right-wing extremism","100","0.1%",0,100,1,191
"70",7,1,1,"Member of a terror cell - operating within an organized group","Immigrant","Vehicle-ramming attack","Right-wing extremism","100","10%",1,100,1,191
"71",8,1,2,"Lone actor - operating alone","Immigrant","Vehicle-ramming attack","Right-wing extremism","1","0.1%",NA,24,0,51
"72",8,1,1,"Lone actor - operating alone","Citizen","Non-suicidal bombing","Right-wing extremism","10","10%",NA,24,0,51
"73",8,4,2,"Lone actor - operating alone","Citizen","Vehicle-ramming attack","Right-wing extremism","1","1%",NA,24,0,51
"74",8,2,1,"Lone actor - operating alone","Citizen","Stabbing","Right-wing extremism","10","1%",NA,24,0,51
"75",8,4,1,"Member of a terror cell - operating within an organized group","Citizen","Suicidal bombing","Right-wing extremism","1","1%",NA,24,0,51
"76",8,2,2,"Member of a terror cell - operating within an organized group","Immigrant","Non-suicidal bombing","Jihadism","10","1%",NA,24,0,51
"77",8,5,1,"Lone actor - operating alone","Citizen","Vehicle-ramming attack","Jihadism","10","1%",NA,24,0,51
"78",8,3,1,"Lone actor - operating alone","Citizen","Vehicle-ramming attack","Jihadism","1","10%",NA,24,0,51
"79",8,3,2,"Member of a terror cell - operating within an organized group","Immigrant","Shooting","Jihadism","10","1%",NA,24,0,51
"80",8,5,2,"Lone actor - operating alone","Citizen","Shooting","Right-wing extremism","100","1%",NA,24,0,51
"81",9,2,2,"Lone actor - operating alone","Citizen","Non-suicidal bombing","Right-wing extremism","100","10%",NA,24,0,33
"82",9,3,1,"Lone actor - operating alone","Citizen","Suicidal bombing","Jihadism","10","1%",NA,24,0,33
"83",9,4,1,"Member of a terror cell - operating within an organized group","Citizen","Shooting","Jihadism","1","1%",NA,24,0,33
"84",9,1,2,"Member of a terror cell - operating within an organized group","Immigrant","Shooting","Right-wing extremism","1","10%",NA,24,0,33
"85",9,1,1,"Member of a terror cell - operating within an organized group","Immigrant","Non-suicidal bombing","Right-wing extremism","100","10%",NA,24,0,33
"86",9,3,2,"Lone actor - operating alone","Citizen","Vehicle-ramming attack","Jihadism","100","10%",NA,24,0,33
"87",9,4,2,"Member of a terror cell - operating within an organized group","Immigrant","Vehicle-ramming attack","Right-wing extremism","1","10%",NA,24,0,33
"88",9,2,1,"Member of a terror cell - operating within an organized group","Citizen","Suicidal bombing","Right-wing extremism","10","0.1%",NA,24,0,33
"89",9,5,2,"Lone actor - operating alone","Citizen","Stabbing","Jihadism","10","10%",NA,24,0,33
"90",9,5,1,"Lone actor - operating alone","Immigrant","Non-suicidal bombing","Jihadism","100","10%",NA,24,0,33
"91",10,2,1,"Member of a terror cell - operating within an organized group","Immigrant","Stabbing","Right-wing extremism","1","1%",1,100,1,154
"92",10,1,2,"Member of a terror cell - operating within an organized group","Citizen","Stabbing","Right-wing extremism","10","0.1%",0,100,1,154
"93",10,1,1,"Member of a terror cell - operating within an organized group","Immigrant","Stabbing","Jihadism","10","1%",1,100,1,154
"94",10,5,2,"Lone actor - operating alone","Immigrant","Shooting","Right-wing extremism","100","10%",1,100,1,154
"95",10,3,2,"Lone actor - operating alone","Citizen","Non-suicidal bombing","Jihadism","100","1%",1,100,1,154
"96",10,5,1,"Member of a terror cell - operating within an organized group","Citizen","Shooting","Jihadism","100","1%",0,100,1,154
"97",10,3,1,"Lone actor - operating alone","Immigrant","Vehicle-ramming attack","Right-wing extremism","1","10%",0,100,1,154
"98",10,2,2,"Lone actor - operating alone","Citizen","Vehicle-ramming attack","Right-wing extremism","1","0.1%",0,100,1,154
"99",10,4,1,"Lone actor - operating alone","Citizen","Suicidal bombing","Right-wing extremism","100","1%",1,100,1,154
"100",10,4,2,"Lone actor - operating alone","Citizen","Suicidal bombing","Jihadism","10","1%",0,100,1,154
"101",11,1,2,"Lone actor - operating alone","Citizen","Shooting","Right-wing extremism","1","1%",0,100,1,149
"102",11,1,1,"Member of a terror cell - operating within an organized group","Citizen","Suicidal bombing","Jihadism","10","10%",1,100,1,149
"103",11,3,2,"Member of a terror cell - operating within an organized group","Immigrant","Shooting","Right-wing extremism","100","10%",1,100,1,149
"104",11,4,1,"Lone actor - operating alone","Citizen","Vehicle-ramming attack","Jihadism","1","0.1%",0,100,1,149
"105",11,2,2,"Lone actor - operating alone","Immigrant","Vehicle-ramming attack","Right-wing extremism","10","10%",1,100,1,149
"106",11,2,1,"Lone actor - operating alone","Citizen","Suicidal bombing","Right-wing extremism","1","10%",0,100,1,149
"107",11,3,1,"Member of a terror cell - operating within an organized group","Immigrant","Suicidal bombing","Jihadism","1","10%",0,100,1,149
"108",11,5,1,"Lone actor - operating alone","Citizen","Non-suicidal bombing","Jihadism","100","0.1%",0,100,1,149
"109",11,5,2,"Member of a terror cell - operating within an organized group","Citizen","Suicidal bombing","Jihadism","10","1%",1,100,1,149
"110",11,4,2,"Lone actor - operating alone","Immigrant","Non-suicidal bombing","Jihadism","1","0.1%",1,100,1,149
"111",12,1,2,"Lone actor - operating alone","Immigrant","Non-suicidal bombing","Jihadism","100","1%",1,100,1,350
"112",12,3,1,"Member of a terror cell - operating within an organized group","Immigrant","Shooting","Right-wing extremism","100","10%",1,100,1,350
"113",12,3,2,"Lone actor - operating alone","Citizen","Shooting","Jihadism","10","1%",0,100,1,350
"114",12,1,1,"Lone actor - operating alone","Citizen","Non-suicidal bombing","Jihadism","10","1%",0,100,1,350
"115",12,2,2,"Member of a terror cell - operating within an organized group","Immigrant","Stabbing","Right-wing extremism","10","0.1%",0,100,1,350
"116",12,4,2,"Lone actor - operating alone","Citizen","Shooting","Jihadism","10","0.1%",1,100,1,350
"117",12,5,2,"Member of a terror cell - operating within an organized group","Citizen","Suicidal bombing","Right-wing extremism","10","1%",1,100,1,350
"118",12,4,1,"Lone actor - operating alone","Citizen","Vehicle-ramming attack","Right-wing extremism","1","0.1%",0,100,1,350
"119",12,2,1,"Member of a terror cell - operating within an organized group","Immigrant","Stabbing","Right-wing extremism","1","10%",1,100,1,350
"120",12,5,1,"Lone actor - operating alone","Immigrant","Vehicle-ramming attack","Jihadism","10","1%",0,100,1,350
"121",13,1,2,"Member of a terror cell - operating within an organized group","Citizen","Vehicle-ramming attack","Jihadism","1","0.1%",0,100,1,775
"122",13,1,1,"Member of a terror cell - operating within an organized group","Citizen","Stabbing","Right-wing extremism","10","1%",1,100,1,775
"123",13,2,1,"Member of a terror cell - operating within an organized group","Citizen","Stabbing","Right-wing extremism","1","10%",0,100,1,775
"124",13,4,2,"Lone actor - operating alone","Citizen","Suicidal bombing","Jihadism","100","0.1%",1,100,1,775
"125",13,3,2,"Lone actor - operating alone","Citizen","Stabbing","Right-wing extremism","10","10%",1,100,1,775
"126",13,5,1,"Member of a terror cell - operating within an organized group","Immigrant","Non-suicidal bombing","Right-wing extremism","100","0.1%",1,100,1,775
"127",13,5,2,"Member of a terror cell - operating within an organized group","Immigrant","Shooting","Right-wing extremism","100","0.1%",0,100,1,775
"128",13,4,1,"Lone actor - operating alone","Immigrant","Shooting","Right-wing extremism","10","10%",0,100,1,775
"129",13,3,1,"Member of a terror cell - operating within an organized group","Immigrant","Vehicle-ramming attack","Jihadism","1","1%",0,100,1,775
"130",13,2,2,"Lone actor - operating alone","Immigrant","Suicidal bombing","Jihadism","100","1%",1,100,1,775
"131",14,3,1,"Lone actor - operating alone","Citizen","Vehicle-ramming attack","Jihadism","1","0.1%",1,100,1,222
"132",14,2,2,"Member of a terror cell - operating within an organized group","Immigrant","Suicidal bombing","Right-wing extremism","10","1%",0,100,1,222
"133",14,1,1,"Member of a terror cell - operating within an organized group","Citizen","Shooting","Right-wing extremism","10","10%",1,100,1,222
"134",14,1,2,"Lone actor - operating alone","Immigrant","Suicidal bombing","Jihadism","1","0.1%",0,100,1,222
"135",14,5,1,"Member of a terror cell - operating within an organized group","Immigrant","Stabbing","Jihadism","10","1%",0,100,1,222
"136",14,4,2,"Member of a terror cell - operating within an organized group","Immigrant","Vehicle-ramming attack","Jihadism","10","0.1%",0,100,1,222
"137",14,3,2,"Lone actor - operating alone","Citizen","Suicidal bombing","Jihadism","10","1%",0,100,1,222
"138",14,2,1,"Lone actor - operating alone","Citizen","Stabbing","Right-wing extremism","10","1%",1,100,1,222
"139",14,4,1,"Lone actor - operating alone","Citizen","Shooting","Jihadism","100","1%",1,100,1,222
"140",14,5,2,"Member of a terror cell - operating within an organized group","Immigrant","Shooting","Right-wing extremism","10","10%",1,100,1,222
"141",15,2,2,"Lone actor - operating alone","Immigrant","Non-suicidal bombing","Jihadism","10","10%",0,100,1,2235
"142",15,4,1,"Member of a terror cell - operating within an organized group","Citizen","Shooting","Right-wing extremism","10","1%",0,100,1,2235
"143",15,5,1,"Member of a terror cell - operating within an organized group","Immigrant","Non-suicidal bombing","Right-wing extremism","10","10%",0,100,1,2235
"144",15,3,1,"Lone actor - operating alone","Citizen","Non-suicidal bombing","Right-wing extremism","1","10%",0,100,1,2235
"145",15,2,1,"Lone actor - operating alone","Immigrant","Non-suicidal bombing","Jihadism","100","1%",1,100,1,2235
"146",15,4,2,"Lone actor - operating alone","Citizen","Non-suicidal bombing","Jihadism","100","10%",1,100,1,2235
"147",15,1,2,"Member of a terror cell - operating within an organized group","Citizen","Shooting","Jihadism","1","0.1%",0,100,1,2235
"148",15,5,2,"Member of a terror cell - operating within an organized group","Citizen","Non-suicidal bombing","Jihadism","100","1%",1,100,1,2235
"149",15,1,1,"Lone actor - operating alone","Citizen","Vehicle-ramming attack","Right-wing extremism","10","1%",1,100,1,2235
"150",15,3,2,"Member of a terror cell - operating within an organized group","Immigrant","Vehicle-ramming attack","Right-wing extremism","1","10%",1,100,1,2235
"151",16,1,1,"Lone actor - operating alone","Immigrant","Shooting","Jihadism","1","10%",1,100,1,121
"152",16,1,2,"Lone actor - operating alone","Citizen","Non-suicidal bombing","Right-wing extremism","100","1%",0,100,1,121
"153",16,5,1,"Member of a terror cell - operating within an organized group","Immigrant","Suicidal bombing","Jihadism","10","10%",1,100,1,121
"154",16,2,1,"Member of a terror cell - operating within an organized group","Citizen","Shooting","Jihadism","100","0.1%",0,100,1,121
"155",16,3,2,"Lone actor - operating alone","Immigrant","Vehicle-ramming attack","Jihadism","100","1%",1,100,1,121
"156",16,3,1,"Lone actor - operating alone","Immigrant","Suicidal bombing","Right-wing extremism","1","10%",0,100,1,121
"157",16,4,2,"Member of a terror cell - operating within an organized group","Immigrant","Vehicle-ramming attack","Jihadism","10","0.1%",1,100,1,121
"158",16,4,1,"Member of a terror cell - operating within an organized group","Immigrant","Shooting","Right-wing extremism","1","0.1%",0,100,1,121
"159",16,2,2,"Member of a terror cell - operating within an organized group","Immigrant","Vehicle-ramming attack","Jihadism","100","0.1%",1,100,1,121
"160",16,5,2,"Lone actor - operating alone","Citizen","Non-suicidal bombing","Right-wing extremism","1","10%",0,100,1,121
"161",17,2,2,"Member of a terror cell - operating within an organized group","Citizen","Suicidal bombing","Right-wing extremism","100","0.1%",NA,24,0,53
"162",17,4,1,"Member of a terror cell - operating within an organized group","Citizen","Vehicle-ramming attack","Right-wing extremism","100","1%",NA,24,0,53
"163",17,5,2,"Lone actor - operating alone","Citizen","Non-suicidal bombing","Jihadism","1","0.1%",NA,24,0,53
"164",17,2,1,"Lone actor - operating alone","Citizen","Non-suicidal bombing","Jihadism","100","10%",NA,24,0,53
"165",17,4,2,"Lone actor - operating alone","Citizen","Shooting","Jihadism","10","0.1%",NA,24,0,53
"166",17,3,1,"Member of a terror cell - operating within an organized group","Immigrant","Suicidal bombing","Right-wing extremism","100","0.1%",NA,24,0,53
"167",17,1,2,"Member of a terror cell - operating within an organized group","Immigrant","Non-suicidal bombing","Jihadism","1","1%",NA,24,0,53
"168",17,1,1,"Lone actor - operating alone","Citizen","Vehicle-ramming attack","Jihadism","100","0.1%",NA,24,0,53
"169",17,3,2,"Lone actor - operating alone","Citizen","Shooting","Jihadism","100","0.1%",NA,24,0,53
"170",17,5,1,"Member of a terror cell - operating within an organized group","Immigrant","Suicidal bombing","Right-wing extremism","1","1%",NA,24,0,53
"171",18,5,2,"Member of a terror cell - operating within an organized group","Immigrant","Shooting","Jihadism","100","1%",1,100,1,94
"172",18,3,1,"Member of a terror cell - operating within an organized group","Citizen","Vehicle-ramming attack","Jihadism","100","0.1%",0,100,1,94
