"","ID","task","profile","Affiliation.of.the.terrorist","Legal.status.of.the.terrorist","Terrorist.tactic","Motivation.for.the.terrorist.attack","Number.of.deaths","Probability.of.the.attack","selected","progress","finished","durationinseconds"
"2614",262,2,2,"Member of a terror cell - operating within an organized group","Immigrant","Shooting","Jihadism","10","10%",1,100,1,145
"2615",262,1,1,"Member of a terror cell - operating within an organized group","Immigrant","Vehicle-ramming attack","Jihadism","1","0.1%",0,100,1,145
"2616",262,4,1,"Lone actor - operating alone","Immigrant","Non-suicidal bombing","Jihadism","10","1%",0,100,1,145
"2617",262,3,2,"Member of a terror cell - operating within an organized group","Immigrant","Vehicle-ramming attack","Jihadism","10","0.1%",1,100,1,145
"2618",262,3,1,"Member of a terror cell - operating within an organized group","Immigrant","Vehicle-ramming attack","Right-wing extremism","1","0.1%",0,100,1,145
"2619",262,2,1,"Member of a terror cell - operating within an organized group","Citizen","Shooting","Jihadism","10","1%",0,100,1,145
"2620",262,4,2,"Member of a terror cell - operating within an organized group","Citizen","Shooting","Right-wing extremism","100","10%",1,100,1,145
"2621",263,3,1,"Lone actor - operating alone","Citizen","Non-suicidal bombing","Right-wing extremism","100","1%",1,100,1,172
"2622",263,3,2,"Member of a terror cell - operating within an organized group","Citizen","Stabbing","Jihadism","10","1%",0,100,1,172
"2623",263,2,2,"Member of a terror cell - operating within an organized group","Citizen","Suicidal bombing","Right-wing extremism","100","1%",1,100,1,172
"2624",263,5,1,"Lone actor - operating alone","Citizen","Stabbing","Jihadism","10","0.1%",1,100,1,172
"2625",263,1,2,"Lone actor - operating alone","Immigrant","Vehicle-ramming attack","Jihadism","10","1%",1,100,1,172
"2626",263,2,1,"Member of a terror cell - operating within an organized group","Citizen","Stabbing","Jihadism","1","10%",0,100,1,172
"2627",263,5,2,"Member of a terror cell - operating within an organized group","Citizen","Vehicle-ramming attack","Right-wing extremism","10","0.1%",0,100,1,172
"2628",263,4,1,"Member of a terror cell - operating within an organized group","Immigrant","Vehicle-ramming attack","Jihadism","1","1%",1,100,1,172
"2629",263,4,2,"Member of a terror cell - operating within an organized group","Immigrant","Non-suicidal bombing","Right-wing extremism","1","10%",0,100,1,172
"2630",263,1,1,"Member of a terror cell - operating within an organized group","Immigrant","Stabbing","Jihadism","10","1%",0,100,1,172
"2631",264,1,2,"Member of a terror cell - operating within an organized group","Citizen","Suicidal bombing","Right-wing extremism","100","10%",1,100,1,143
"2632",264,2,1,"Member of a terror cell - operating within an organized group","Immigrant","Vehicle-ramming attack","Right-wing extremism","100","10%",0,100,1,143
"2633",264,4,1,"Member of a terror cell - operating within an organized group","Citizen","Vehicle-ramming attack","Jihadism","1","1%",0,100,1,143
"2634",264,5,2,"Lone actor - operating alone","Immigrant","Vehicle-ramming attack","Jihadism","1","1%",0,100,1,143
"2635",264,1,1,"Lone actor - operating alone","Immigrant","Suicidal bombing","Right-wing extremism","1","0.1%",0,100,1,143
"2636",264,5,1,"Member of a terror cell - operating within an organized group","Immigrant","Vehicle-ramming attack","Jihadism","1","1%",1,100,1,143
"2637",264,2,2,"Lone actor - operating alone","Citizen","Shooting","Jihadism","10","0.1%",1,100,1,143
"2638",264,4,2,"Member of a terror cell - operating within an organized group","Immigrant","Non-suicidal bombing","Jihadism","100","1%",1,100,1,143
"2639",264,3,2,"Member of a terror cell - operating within an organized group","Citizen","Non-suicidal bombing","Jihadism","10","10%",1,100,1,143
"2640",264,3,1,"Lone actor - operating alone","Immigrant","Shooting","Right-wing extremism","1","0.1%",0,100,1,143
"2641",265,1,1,"Lone actor - operating alone","Citizen","Vehicle-ramming attack","Right-wing extremism","100","1%",1,100,1,182
"2642",265,3,1,"Member of a terror cell - operating within an organized group","Immigrant","Shooting","Right-wing extremism","1","10%",1,100,1,182
"2643",265,1,2,"Member of a terror cell - operating within an organized group","Citizen","Non-suicidal bombing","Right-wing extremism","10","1%",0,100,1,182
"2644",265,2,1,"Member of a terror cell - operating within an organized group","Citizen","Suicidal bombing","Jihadism","100","1%",1,100,1,182
"2645",265,4,1,"Lone actor - operating alone","Immigrant","Vehicle-ramming attack","Jihadism","10","0.1%",1,100,1,182
"2646",265,4,2,"Member of a terror cell - operating within an organized group","Immigrant","Stabbing","Right-wing extremism","1","0.1%",0,100,1,182
"2647",265,5,2,"Member of a terror cell - operating within an organized group","Citizen","Shooting","Right-wing extremism","1","10%",0,100,1,182
"2648",265,5,1,"Member of a terror cell - operating within an organized group","Immigrant","Stabbing","Right-wing extremism","1","10%",1,100,1,182
"2649",265,3,2,"Lone actor - operating alone","Immigrant","Shooting","Jihadism","1","1%",0,100,1,182
"2650",265,2,2,"Member of a terror cell - operating within an organized group","Immigrant","Stabbing","Jihadism","1","1%",0,100,1,182
"2651",266,3,1,"Member of a terror cell - operating within an organized group","Immigrant","Non-suicidal bombing","Right-wing extremism","10","0.1%",0,100,1,114
"2652",266,5,1,"Member of a terror cell - operating within an organized group","Immigrant","Shooting","Jihadism","100","0.1%",1,100,1,114
"2653",266,2,2,"Lone actor - operating alone","Immigrant","Shooting","Right-wing extremism","100","1%",1,100,1,114
"2654",266,1,2,"Member of a terror cell - operating within an organized group","Immigrant","Stabbing","Right-wing extremism","10","1%",1,100,1,114
"2655",266,1,1,"Lone actor - operating alone","Immigrant","Non-suicidal bombing","Right-wing extremism","100","1%",0,100,1,114
"2656",266,2,1,"Lone actor - operating alone","Citizen","Shooting","Right-wing extremism","1","0.1%",0,100,1,114
"2657",266,3,2,"Member of a terror cell - operating within an organized group","Immigrant","Vehicle-ramming attack","Jihadism","100","0.1%",1,100,1,114
"2658",266,4,1,"Member of a terror cell - operating within an organized group","Immigrant","Vehicle-ramming attack","Jihadism","10","0.1%",1,100,1,114
"2659",266,5,2,"Lone actor - operating alone","Immigrant","Vehicle-ramming attack","Jihadism","1","0.1%",0,100,1,114
"2660",266,4,2,"Member of a terror cell - operating within an organized group","Immigrant","Stabbing","Right-wing extremism","1","1%",0,100,1,114
"2661",267,2,2,"Lone actor - operating alone","Citizen","Vehicle-ramming attack","Jihadism","1","1%",0,100,1,368
"2662",267,1,2,"Member of a terror cell - operating within an organized group","Citizen","Suicidal bombing","Right-wing extremism","10","0.1%",0,100,1,368
"2663",267,4,1,"Member of a terror cell - operating within an organized group","Citizen","Suicidal bombing","Jihadism","1","0.1%",0,100,1,368
"2664",267,1,1,"Lone actor - operating alone","Immigrant","Vehicle-ramming attack","Jihadism","10","10%",1,100,1,368
"2665",267,3,2,"Lone actor - operating alone","Immigrant","Non-suicidal bombing","Right-wing extremism","1","10%",1,100,1,368
"2666",267,2,1,"Member of a terror cell - operating within an organized group","Citizen","Stabbing","Right-wing extremism","10","1%",1,100,1,368
"2667",267,4,2,"Lone actor - operating alone","Citizen","Stabbing","Jihadism","10","1%",1,100,1,368
"2668",267,3,1,"Member of a terror cell - operating within an organized group","Citizen","Vehicle-ramming attack","Right-wing extremism","1","1%",0,100,1,368
"2669",267,5,2,"Lone actor - operating alone","Immigrant","Shooting","Right-wing extremism","1","10%",0,100,1,368
"2670",267,5,1,"Member of a terror cell - operating within an organized group","Citizen","Vehicle-ramming attack","Jihadism","100","10%",1,100,1,368
"2671",268,2,2,"Lone actor - operating alone","Citizen","Shooting","Jihadism","10","10%",0,100,1,257
"2672",268,2,1,"Member of a terror cell - operating within an organized group","Immigrant","Stabbing","Jihadism","10","10%",1,100,1,257
"2673",268,5,1,"Member of a terror cell - operating within an organized group","Citizen","Vehicle-ramming attack","Jihadism","100","0.1%",0,100,1,257
"2674",268,4,1,"Member of a terror cell - operating within an organized group","Immigrant","Stabbing","Right-wing extremism","10","0.1%",0,100,1,257
"2675",268,1,1,"Member of a terror cell - operating within an organized group","Citizen","Vehicle-ramming attack","Right-wing extremism","10","10%",1,100,1,257
"2676",268,1,2,"Lone actor - operating alone","Citizen","Vehicle-ramming attack","Right-wing extremism","1","10%",0,100,1,257
"2677",268,5,2,"Lone actor - operating alone","Immigrant","Stabbing","Right-wing extremism","10","10%",1,100,1,257
"2678",268,4,2,"Member of a terror cell - operating within an organized group","Immigrant","Non-suicidal bombing","Right-wing extremism","10","10%",1,100,1,257
"2679",268,3,1,"Member of a terror cell - operating within an organized group","Immigrant","Vehicle-ramming attack","Right-wing extremism","1","0.1%",0,100,1,257
"2680",268,3,2,"Lone actor - operating alone","Immigrant","Vehicle-ramming attack","Right-wing extremism","1","10%",1,100,1,257
"2681",269,1,1,"Lone actor - operating alone","Citizen","Suicidal bombing","Jihadism","10","1%",0,100,1,94
"2682",269,3,2,"Lone actor - operating alone","Immigrant","Suicidal bombing","Right-wing extremism","100","1%",0,100,1,94
"2683",269,4,2,"Lone actor - operating alone","Citizen","Vehicle-ramming attack","Jihadism","1","0.1%",0,100,1,94
"2684",269,5,2,"Lone actor - operating alone","Citizen","Non-suicidal bombing","Right-wing extremism","10","1%",1,100,1,94
"2685",269,2,1,"Member of a terror cell - operating within an organized group","Citizen","Non-suicidal bombing","Right-wing extremism","10","1%",1,100,1,94
"2686",269,1,2,"Lone actor - operating alone","Immigrant","Suicidal bombing","Jihadism","1","0.1%",1,100,1,94
"2687",269,4,1,"Lone actor - operating alone","Citizen","Vehicle-ramming attack","Jihadism","100","0.1%",1,100,1,94
"2688",269,5,1,"Lone actor - operating alone","Citizen","Non-suicidal bombing","Right-wing extremism","1","1%",0,100,1,94
"2689",269,2,2,"Member of a terror cell - operating within an organized group","Immigrant","Suicidal bombing","Right-wing extremism","10","10%",0,100,1,94
"2690",269,3,1,"Lone actor - operating alone","Citizen","Suicidal bombing","Jihadism","10","10%",1,100,1,94
"2691",270,1,1,"Lone actor - operating alone","Immigrant","Stabbing","Right-wing extremism","1","0.1%",0,100,1,182
"2692",270,3,1,"Lone actor - operating alone","Immigrant","Shooting","Jihadism","1","10%",0,100,1,182
"2693",270,4,2,"Member of a terror cell - operating within an organized group","Immigrant","Suicidal bombing","Jihadism","100","0.1%",0,100,1,182
"2694",270,5,2,"Member of a terror cell - operating within an organized group","Immigrant","Stabbing","Jihadism","1","10%",1,100,1,182
"2695",270,5,1,"Lone actor - operating alone","Immigrant","Non-suicidal bombing","Right-wing extremism","1","10%",0,100,1,182
"2696",270,2,2,"Member of a terror cell - operating within an organized group","Citizen","Non-suicidal bombing","Jihadism","100","10%",1,100,1,182
"2697",270,1,2,"Lone actor - operating alone","Citizen","Stabbing","Jihadism","1","10%",1,100,1,182
"2698",270,2,1,"Lone actor - operating alone","Citizen","Stabbing","Right-wing extremism","1","0.1%",0,100,1,182
"2699",270,4,1,"Lone actor - operating alone","Citizen","Shooting","Jihadism","100","10%",1,100,1,182
"2700",270,3,2,"Member of a terror cell - operating within an organized group","Immigrant","Non-suicidal bombing","Right-wing extremism","100","1%",1,100,1,182
"2701",271,1,1,"Member of a terror cell - operating within an organized group","Immigrant","Non-suicidal bombing","Right-wing extremism","100","1%",1,100,1,230
"2702",271,3,1,"Lone actor - operating alone","Immigrant","Suicidal bombing","Jihadism","100","0.1%",0,100,1,230
"2703",271,3,2,"Lone actor - operating alone","Citizen","Non-suicidal bombing","Jihadism","100","1%",1,100,1,230
"2704",271,2,2,"Member of a terror cell - operating within an organized group","Immigrant","Shooting","Jihadism","100","10%",1,100,1,230
"2705",271,4,2,"Lone actor - operating alone","Immigrant","Non-suicidal bombing","Jihadism","100","1%",1,100,1,230
"2706",271,4,1,"Member of a terror cell - operating within an organized group","Citizen","Stabbing","Right-wing extremism","1","1%",0,100,1,230
"2707",271,5,1,"Lone actor - operating alone","Citizen","Stabbing","Right-wing extremism","10","1%",0,100,1,230
"2708",271,5,2,"Member of a terror cell - operating within an organized group","Citizen","Vehicle-ramming attack","Jihadism","1","10%",1,100,1,230
"2709",271,1,2,"Lone actor - operating alone","Citizen","Non-suicidal bombing","Jihadism","10","0.1%",0,100,1,230
"2710",271,2,1,"Lone actor - operating alone","Immigrant","Non-suicidal bombing","Right-wing extremism","100","10%",0,100,1,230
"2711",272,2,1,"Member of a terror cell - operating within an organized group","Immigrant","Non-suicidal bombing","Right-wing extremism","100","0.1%",1,100,1,82
"2712",272,4,2,"Lone actor - operating alone","Citizen","Shooting","Right-wing extremism","100","0.1%",1,100,1,82
"2713",272,2,2,"Member of a terror cell - operating within an organized group","Immigrant","Shooting","Jihadism","100","10%",0,100,1,82
"2714",272,5,2,"Member of a terror cell - operating within an organized group","Citizen","Stabbing","Jihadism","10","1%",1,100,1,82
"2715",272,1,1,"Member of a terror cell - operating within an organized group","Immigrant","Shooting","Jihadism","10","10%",1,100,1,82
"2716",272,3,1,"Lone actor - operating alone","Immigrant","Shooting","Jihadism","100","10%",0,100,1,82
"2717",272,3,2,"Lone actor - operating alone","Immigrant","Suicidal bombing","Right-wing extremism","10","10%",1,100,1,82
"2718",272,4,1,"Lone actor - operating alone","Citizen","Non-suicidal bombing","Jihadism","100","0.1%",0,100,1,82
"2719",272,5,1,"Member of a terror cell - operating within an organized group","Citizen","Non-suicidal bombing","Jihadism","10","10%",0,100,1,82
"2720",272,1,2,"Member of a terror cell - operating within an organized group","Citizen","Vehicle-ramming attack","Jihadism","10","0.1%",0,100,1,82
"2721",273,5,1,"Member of a terror cell - operating within an organized group","Immigrant","Suicidal bombing","Jihadism","1","1%",1,100,1,587
"2722",273,3,1,"Member of a terror cell - operating within an organized group","Citizen","Non-suicidal bombing","Right-wing extremism","1","1%",1,100,1,587
"2723",273,2,1,"Lone actor - operating alone","Citizen","Vehicle-ramming attack","Right-wing extremism","1","1%",0,100,1,587
"2724",273,4,1,"Lone actor - operating alone","Immigrant","Non-suicidal bombing","Right-wing extremism","1","0.1%",0,100,1,587
"2725",273,3,2,"Lone actor - operating alone","Citizen","Non-suicidal bombing","Right-wing extremism","1","0.1%",0,100,1,587
"2726",273,1,1,"Member of a terror cell - operating within an organized group","Citizen","Stabbing","Right-wing extremism","10","1%",0,100,1,587
"2727",273,1,2,"Member of a terror cell - operating within an organized group","Immigrant","Shooting","Right-wing extremism","10","10%",1,100,1,587
"2728",273,5,2,"Lone actor - operating alone","Immigrant","Shooting","Right-wing extremism","1","0.1%",0,100,1,587
"2729",273,2,2,"Member of a terror cell - operating within an organized group","Immigrant","Shooting","Right-wing extremism","100","10%",1,100,1,587
"2730",273,4,2,"Lone actor - operating alone","Immigrant","Stabbing","Jihadism","1","1%",1,100,1,587
"2731",274,1,2,"Lone actor - operating alone","Citizen","Vehicle-ramming attack","Jihadism","1","1%",0,100,1,102
"2732",274,4,1,"Member of a terror cell - operating within an organized group","Immigrant","Stabbing","Jihadism","1","0.1%",1,100,1,102
"2733",274,3,2,"Lone actor - operating alone","Immigrant","Stabbing","Jihadism","1","10%",1,100,1,102
"2734",274,1,1,"Lone actor - operating alone","Citizen","Stabbing","Jihadism","1","1%",1,100,1,102
"2735",274,5,2,"Member of a terror cell - operating within an organized group","Citizen","Vehicle-ramming attack","Jihadism","100","1%",1,100,1,102
"2736",274,2,2,"Lone actor - operating alone","Citizen","Vehicle-ramming attack","Right-wing extremism","10","10%",0,100,1,102
"2737",274,4,2,"Lone actor - operating alone","Citizen","Non-suicidal bombing","Right-wing extremism","10","1%",0,100,1,102
"2738",274,2,1,"Member of a terror cell - operating within an organized group","Citizen","Non-suicidal bombing","Right-wing extremism","10","1%",1,100,1,102
"2739",274,3,1,"Member of a terror cell - operating within an organized group","Citizen","Suicidal bombing","Right-wing extremism","10","1%",0,100,1,102
"2740",274,5,1,"Lone actor - operating alone","Immigrant","Stabbing","Jihadism","1","0.1%",0,100,1,102
"2741",275,4,1,"Member of a terror cell - operating within an organized group","Immigrant","Vehicle-ramming attack","Jihadism","1","10%",1,100,1,189
"2742",275,3,1,"Member of a terror cell - operating within an organized group","Citizen","Vehicle-ramming attack","Right-wing extremism","10","10%",1,100,1,189
"2743",275,5,1,"Member of a terror cell - operating within an organized group","Citizen","Stabbing","Jihadism","1","0.1%",0,100,1,189
"2744",275,4,2,"Lone actor - operating alone","Immigrant","Stabbing","Jihadism","1","0.1%",0,100,1,189
"2745",275,2,2,"Member of a terror cell - operating within an organized group","Immigrant","Stabbing","Right-wing extremism","1","10%",1,100,1,189
"2746",275,2,1,"Lone actor - operating alone","Immigrant","Non-suicidal bombing","Jihadism","1","10%",0,100,1,189
"2747",275,3,2,"Lone actor - operating alone","Citizen","Suicidal bombing","Jihadism","10","10%",0,100,1,189
"2748",275,5,2,"Member of a terror cell - operating within an organized group","Citizen","Non-suicidal bombing","Right-wing extremism","10","0.1%",1,100,1,189
"2749",275,1,2,"Member of a terror cell - operating within an organized group","Citizen","Non-suicidal bombing","Right-wing extremism","100","0.1%",1,100,1,189
"2750",275,1,1,"Member of a terror cell - operating within an organized group","Immigrant","Suicidal bombing","Jihadism","10","1%",0,100,1,189
"2751",276,4,2,"Member of a terror cell - operating within an organized group","Citizen","Vehicle-ramming attack","Right-wing extremism","1","10%",0,100,1,208
"2752",276,4,1,"Member of a terror cell - operating within an organized group","Immigrant","Non-suicidal bombing","Jihadism","10","10%",1,100,1,208
"2753",276,1,1,"Member of a terror cell - operating within an organized group","Citizen","Non-suicidal bombing","Right-wing extremism","10","0.1%",0,100,1,208
"2754",276,3,1,"Lone actor - operating alone","Immigrant","Suicidal bombing","Jihadism","10","1%",1,100,1,208
"2755",276,3,2,"Lone actor - operating alone","Citizen","Shooting","Right-wing extremism","100","0.1%",0,100,1,208
"2756",276,1,2,"Lone actor - operating alone","Citizen","Non-suicidal bombing","Jihadism","10","0.1%",1,100,1,208
"2757",276,5,2,"Lone actor - operating alone","Citizen","Non-suicidal bombing","Jihadism","10","1%",0,100,1,208
"2758",276,2,2,"Lone actor - operating alone","Immigrant","Shooting","Right-wing extremism","100","10%",1,100,1,208
"2759",276,5,1,"Lone actor - operating alone","Citizen","Shooting","Right-wing extremism","100","1%",1,100,1,208
"2760",276,2,1,"Lone actor - operating alone","Immigrant","Shooting","Jihadism","100","0.1%",0,100,1,208
"2761",277,2,1,"Member of a terror cell - operating within an organized group","Citizen","Shooting","Right-wing extremism","10","10%",NA,33,0,823
"2762",277,5,1,"Lone actor - operating alone","Citizen","Stabbing","Right-wing extremism","1","1%",NA,33,0,823
"2763",277,3,2,"Lone actor - operating alone","Citizen","Stabbing","Right-wing extremism","1","1%",NA,33,0,823
"2764",277,4,1,"Lone actor - operating alone","Immigrant","Suicidal bombing","Right-wing extremism","1","1%",NA,33,0,823
"2765",277,1,2,"Member of a terror cell - operating within an organized group","Immigrant","Shooting","Right-wing extremism","100","0.1%",1,33,0,823
"2766",277,3,1,"Member of a terror cell - operating within an organized group","Citizen","Stabbing","Jihadism","1","10%",NA,33,0,823
"2767",277,1,1,"Member of a terror cell - operating within an organized group","Citizen","Shooting","Jihadism","1","10%",0,33,0,823
"2768",277,5,2,"Lone actor - operating alone","Immigrant","Stabbing","Jihadism","1","1%",NA,33,0,823
"2769",277,4,2,"Member of a terror cell - operating within an organized group","Citizen","Suicidal bombing","Right-wing extremism","10","1%",NA,33,0,823
"2770",277,2,2,"Lone actor - operating alone","Citizen","Vehicle-ramming attack","Right-wing extremism","1","10%",NA,33,0,823
"2771",278,3,1,"Lone actor - operating alone","Citizen","Shooting","Right-wing extremism","10","1%",0,100,1,223
"2772",278,4,1,"Lone actor - operating alone","Citizen","Non-suicidal bombing","Right-wing extremism","100","0.1%",0,100,1,223
"2773",278,1,2,"Member of a terror cell - operating within an organized group","Citizen","Non-suicidal bombing","Right-wing extremism","10","1%",1,100,1,223
"2774",278,5,2,"Member of a terror cell - operating within an organized group","Immigrant","Non-suicidal bombing","Jihadism","10","1%",1,100,1,223
"2775",278,2,2,"Member of a terror cell - operating within an organized group","Citizen","Suicidal bombing","Right-wing extremism","100","10%",1,100,1,223
"2776",278,5,1,"Lone actor - operating alone","Citizen","Stabbing","Right-wing extremism","1","10%",0,100,1,223
"2777",278,4,2,"Member of a terror cell - operating within an organized group","Citizen","Stabbing","Jihadism","1","0.1%",1,100,1,223
"2778",278,1,1,"Lone actor - operating alone","Citizen","Shooting","Jihadism","100","0.1%",0,100,1,223
"2779",278,2,1,"Member of a terror cell - operating within an organized group","Immigrant","Suicidal bombing","Right-wing extremism","100","0.1%",0,100,1,223
"2780",278,3,2,"Lone actor - operating alone","Citizen","Non-suicidal bombing","Right-wing extremism","10","1%",1,100,1,223
"2781",279,4,2,"Member of a terror cell - operating within an organized group","Citizen","Suicidal bombing","Right-wing extremism","1","10%",1,100,1,777
"2782",279,1,2,"Member of a terror cell - operating within an organized group","Immigrant","Vehicle-ramming attack","Jihadism","1","10%",0,100,1,777
"2783",279,2,2,"Member of a terror cell - operating within an organized group","Citizen","Suicidal bombing","Jihadism","10","0.1%",1,100,1,777
"2784",279,4,1,"Member of a terror cell - operating within an organized group","Citizen","Non-suicidal bombing","Right-wing extremism","1","1%",0,100,1,777
"2785",279,5,1,"Member of a terror cell - operating within an organized group","Citizen","Suicidal bombing","Jihadism","10","0.1%",1,100,1,777
"2786",279,3,1,"Member of a terror cell - operating within an organized group","Citizen","Vehicle-ramming attack","Right-wing extremism","100","1%",0,100,1,777
"2787",279,1,1,"Member of a terror cell - operating within an organized group","Citizen","Vehicle-ramming attack","Jihadism","1","10%",1,100,1,777
"2788",279,2,1,"Member of a terror cell - operating within an organized group","Citizen","Shooting","Jihadism","10","0.1%",0,100,1,777
"2789",279,3,2,"Member of a terror cell - operating within an organized group","Citizen","Stabbing","Right-wing extremism","10","0.1%",1,100,1,777
"2790",279,5,2,"Member of a terror cell - operating within an organized group","Citizen","Non-suicidal bombing","Jihadism","100","1%",0,100,1,777
"2791",280,3,1,"Lone actor - operating alone","Citizen","Stabbing","Right-wing extremism","10","1%",1,100,1,460
"2792",280,2,1,"Lone actor - operating alone","Immigrant","Suicidal bombing","Right-wing extremism","10","1%",1,100,1,460
"2793",280,1,2,"Member of a terror cell - operating within an organized group","Citizen","Stabbing","Jihadism","1","10%",1,100,1,460
"2794",280,5,2,"Lone actor - operating alone","Citizen","Suicidal bombing","Jihadism","100","1%",1,100,1,460
"2795",280,3,2,"Member of a terror cell - operating within an organized group","Citizen","Vehicle-ramming attack","Right-wing extremism","1","10%",0,100,1,460
"2796",280,1,1,"Member of a terror cell - operating within an organized group","Citizen","Shooting","Jihadism","10","1%",0,100,1,460
"2797",280,4,2,"Member of a terror cell - operating within an organized group","Immigrant","Vehicle-ramming attack","Jihadism","1","10%",1,100,1,460
"2798",280,2,2,"Member of a terror cell - operating within an organized group","Citizen","Vehicle-ramming attack","Right-wing extremism","10","1%",0,100,1,460
"2799",280,5,1,"Member of a terror cell - operating within an organized group","Immigrant","Stabbing","Jihadism","10","0.1%",0,100,1,460
"2800",280,4,1,"Lone actor - operating alone","Immigrant","Suicidal bombing","Jihadism","1","1%",0,100,1,460
"2801",281,4,2,"Lone actor - operating alone","Citizen","Suicidal bombing","Right-wing extremism","100","0.1%",1,100,1,180
"2802",281,1,1,"Lone actor - operating alone","Citizen","Stabbing","Right-wing extremism","1","0.1%",0,100,1,180
"2803",281,1,2,"Lone actor - operating alone","Citizen","Suicidal bombing","Right-wing extremism","100","10%",1,100,1,180
"2804",281,4,1,"Member of a terror cell - operating within an organized group","Immigrant","Shooting","Jihadism","100","0.1%",0,100,1,180
"2805",281,3,2,"Member of a terror cell - operating within an organized group","Citizen","Shooting","Right-wing extremism","1","10%",0,100,1,180
"2806",281,2,2,"Member of a terror cell - operating within an organized group","Citizen","Suicidal bombing","Jihadism","1","10%",0,100,1,180
"2807",281,3,1,"Lone actor - operating alone","Immigrant","Non-suicidal bombing","Jihadism","100","1%",1,100,1,180
"2808",281,5,1,"Member of a terror cell - operating within an organized group","Citizen","Non-suicidal bombing","Jihadism","100","1%",1,100,1,180
"2809",281,2,1,"Member of a terror cell - operating within an organized group","Immigrant","Shooting","Jihadism","10","10%",1,100,1,180
"2810",281,5,2,"Member of a terror cell - operating within an organized group","Citizen","Shooting","Jihadism","1","0.1%",0,100,1,180
"2811",282,1,2,"Member of a terror cell - operating within an organized group","Citizen","Shooting","Right-wing extremism","1","10%",1,100,1,430
"2812",282,4,2,"Member of a terror cell - operating within an organized group","Immigrant","Vehicle-ramming attack","Right-wing extremism","100","0.1%",1,100,1,430
"2813",282,2,1,"Lone actor - operating alone","Citizen","Stabbing","Right-wing extremism","1","10%",0,100,1,430
"2814",282,3,2,"Lone actor - operating alone","Immigrant","Suicidal bombing","Right-wing extremism","100","10%",1,100,1,430
"2815",282,2,2,"Member of a terror cell - operating within an organized group","Citizen","Shooting","Right-wing extremism","100","10%",1,100,1,430
"2816",282,3,1,"Member of a terror cell - operating within an organized group","Citizen","Shooting","Right-wing extremism","100","0.1%",0,100,1,430
"2817",282,5,1,"Lone actor - operating alone","Immigrant","Vehicle-ramming attack","Jihadism","1","10%",1,100,1,430
"2818",282,1,1,"Lone actor - operating alone","Citizen","Shooting","Right-wing extremism","100","0.1%",0,100,1,430
"2819",282,5,2,"Member of a terror cell - operating within an organized group","Immigrant","Vehicle-ramming attack","Jihadism","1","0.1%",0,100,1,430
"2820",282,4,1,"Member of a terror cell - operating within an organized group","Immigrant","Suicidal bombing","Jihadism","1","1%",0,100,1,430
"2821",283,1,1,"Lone actor - operating alone","Citizen","Non-suicidal bombing","Right-wing extremism","1","0.1%",1,100,1,102
"2822",283,4,2,"Lone actor - operating alone","Immigrant","Non-suicidal bombing","Jihadism","10","10%",0,100,1,102
"2823",283,1,2,"Lone actor - operating alone","Immigrant","Shooting","Right-wing extremism","10","0.1%",0,100,1,102
"2824",283,2,2,"Member of a terror cell - operating within an organized group","Immigrant","Shooting","Right-wing extremism","100","0.1%",1,100,1,102
"2825",283,3,1,"Lone actor - operating alone","Citizen","Stabbing","Jihadism","10","1%",1,100,1,102
"2826",283,5,1,"Lone actor - operating alone","Immigrant","Non-suicidal bombing","Jihadism","100","1%",0,100,1,102
"2827",283,5,2,"Lone actor - operating alone","Immigrant","Suicidal bombing","Right-wing extremism","1","0.1%",1,100,1,102
"2828",283,4,1,"Member of a terror cell - operating within an organized group","Citizen","Non-suicidal bombing","Right-wing extremism","100","0.1%",1,100,1,102
"2829",283,3,2,"Lone actor - operating alone","Citizen","Suicidal bombing","Jihadism","100","10%",0,100,1,102
"2830",283,2,1,"Member of a terror cell - operating within an organized group","Immigrant","Non-suicidal bombing","Jihadism","100","1%",0,100,1,102
"2831",284,4,2,"Lone actor - operating alone","Citizen","Suicidal bombing","Jihadism","10","0.1%",1,100,1,82
"2832",284,4,1,"Lone actor - operating alone","Citizen","Shooting","Jihadism","10","0.1%",0,100,1,82
"2833",284,1,1,"Member of a terror cell - operating within an organized group","Immigrant","Non-suicidal bombing","Right-wing extremism","1","1%",1,100,1,82
"2834",284,3,2,"Member of a terror cell - operating within an organized group","Citizen","Non-suicidal bombing","Right-wing extremism","100","0.1%",1,100,1,82
"2835",284,2,2,"Member of a terror cell - operating within an organized group","Immigrant","Suicidal bombing","Right-wing extremism","1","1%",1,100,1,82
"2836",284,5,1,"Member of a terror cell - operating within an organized group","Immigrant","Stabbing","Right-wing extremism","1","10%",0,100,1,82
"2837",284,1,2,"Lone actor - operating alone","Citizen","Shooting","Right-wing extremism","1","1%",0,100,1,82
"2838",284,2,1,"Lone actor - operating alone","Citizen","Vehicle-ramming attack","Right-wing extremism","10","10%",0,100,1,82
"2839",284,5,2,"Lone actor - operating alone","Citizen","Suicidal bombing","Jihadism","100","10%",1,100,1,82
"2840",284,3,1,"Lone actor - operating alone","Citizen","Vehicle-ramming attack","Right-wing extremism","1","0.1%",0,100,1,82
"2841",285,3,1,"Lone actor - operating alone","Citizen","Vehicle-ramming attack","Right-wing extremism","1","10%",1,100,1,193
"2842",285,3,2,"Member of a terror cell - operating within an organized group","Immigrant","Shooting","Jihadism","1","1%",0,100,1,193
