date,region,bono,urbrur,con_name,postJulorbi,postJulorbi_donut,postJulorbi3days,postJulorbi2days,duringJulorbi,age,gender,education,ethnicity,urbrur_from,remittance_quota,poverty_index,trust_pres,trust_police,trust_parl,trust_officials,trust_ec,trust_rel,trust_neighbours,trust_others,performance_pres,performance_mp,handle_economy,handle_inflation,handle_health,handle_education,handle_corruption,vote2020_inc,gov_bin,opp_bin,dk_bin,nv_bin,vote_intention,vote_intention_inc,socmedia_week,discuss_politics_bin,time_trend,npp_share,ndc_share,margin_raw,margin,npp_win,govt_stronghold
2023-09-27,Bono,1,Rural,Sunyani West,1,1,,,0,29,Female,Secondary,1,Rural,1,0.833333333333333,2,2,2,2,1,3,2,2,2,2,1,1,1,3,1,Opp,0,1,0,0,Opp,0,0,1,10,62.26,36.51,25.75,25.75,1,1
2023-09-22,Bono,1,Rural,Dormaa Central,1,,,,1,46,Male,None,1,Urban,0,1.5,2,2,3,2,2,2,2,2,2,3,1,1,1,2,1,Govt,1,0,0,0,,,0,1,5,59.6,39.28,20.32,20.32,1,1
2023-09-26,Bono,1,Urban,Sunyani East,1,1,1,,0,19,Male,Secondary,1,Urban,0,1,1,1,1,2,1,4,3,3,1,1,3,3,3,3,3,Non-voter,0,0,0,1,,,1,0,9,65.09,34.01,31.08,31.08,1,1
2023-09-22,Bono,1,Rural,Banda,1,,,,1,50,Male,Primary,2,Rural,1,1.5,2,2,3,2,2,4,3,2,1,3,1,1,2,2,,Opp,0,1,0,0,Opp,0,0,0,5,50.98,48.22,2.76,2.76,1,0
2023-09-26,Bono,1,Rural,Sunyani East,1,1,1,,0,19,Female,Primary,1,Rural,0,1.33333333333333,2,2,3,3,3,4,4,3,3,3,3,3,3,3,3,Non-voter,0,0,0,1,,,0,0,9,65.09,34.01,31.08,31.08,1,1
2023-09-21,Bono,1,Rural,Dormaa West,,,,,1,77,Female,None,1,Urban,1,0,2,2,2,2,2,4,2,2,2,2,2,1,3,3,2,Non-voter,0,0,0,1,Opp,0,0,0,4,45.49,53.64,-8.15,8.15,0,0
2023-09-25,Bono,1,Urban,Sunyani East,1,1,1,1,0,21,Male,Primary,4,Urban,0,1.33333333333333,1,3,1,3,2,4,3,3,1,1,1,1,2,2,,Non-voter,0,0,0,1,Opp,0,1,1,8,65.09,34.01,31.08,31.08,1,1
2023-09-23,Bono,1,Rural,Dormaa Central,1,,,,1,59,Female,None,1,Urban,1,0.333333333333333,2,2,3,2,2,3,3,2,2,3,2,1,2,3,2,Govt,1,0,0,0,,,0,0,6,59.6,39.28,20.32,20.32,1,1
2023-09-23,Bono,1,Rural,Tain,1,,,,1,71,Male,None,1,Rural,1,1.83333333333333,3,3,3,3,3,4,4,3,3,3,3,3,3,3,3,Non-voter,0,0,0,1,,,0,0,6,46.81,50.84,-4.03,4.03,0,0
2023-09-25,Bono,1,Rural,Dormaa East,1,1,1,1,0,52,Female,None,1,Rural,1,0,2,2,2,2,2,3,3,3,2,2,2,2,2,2,2,Non-voter,0,0,0,1,,,0,0,8,66.4,33.42,32.98,32.98,1,1
2023-09-23,Bono,1,Rural,Dormaa Central,1,,,,1,30,Female,Primary,1,Rural,0,1,2,2,2,2,2,2,2,2,2,2,2,1,2,3,,Govt,1,0,0,0,Govt,1,0,0,6,59.6,39.28,20.32,20.32,1,1
2023-09-27,Bono,1,Rural,Sunyani West,1,1,,,0,71,Male,None,95,Rural,1,0.333333333333333,2,2,2,2,2,2,2,2,2,2,2,1,1,2,,Opp,0,1,0,0,Opp,0,1,1,10,62.26,36.51,25.75,25.75,1,1
2023-09-21,Greater Accra,0,Urban,Korle Klottey,,,,,1,40,Female,None,3,Rural,0,1.16666666666667,3,1,2,4,4,2,1,1,2,2,1,1,3,2,1,Govt,1,0,0,0,,,0,0,4,46.73,52.46,-5.73,5.73,0,0
2023-09-23,Bono,1,Rural,Tain,1,,,,1,47,Female,None,1,Rural,1,1.83333333333333,3,3,3,3,2,3,2,2,3,3,3,3,3,3,3,Opp,0,1,0,0,Opp,0,0,0,6,46.81,50.84,-4.03,4.03,0,0
2023-09-20,Bono,1,Rural,Wenchi,0,0,0,0,0,56,Female,None,95,Rural,0,1.2,3,3,3,3,3,3,1,1,3,3,3,3,3,3,,Opp,0,1,0,0,Opp,0,0,0,3,49.55,49,0.549999999999997,0.55,1,0
2023-09-27,Bono,1,Rural,Sunyani West,1,1,,,0,58,Female,None,95,Urban,1,0.166666666666667,2,2,2,2,2,3,3,3,2,2,2,2,2,2,2,Opp,0,1,0,0,Opp,0,0,0,10,62.26,36.51,25.75,25.75,1,1
2023-09-22,Bono,1,Rural,Dormaa Central,1,,,,1,18,Female,Secondary,1,Rural,0,0.833333333333333,2,1,2,2,2,3,2,2,2,2,2,1,2,2,2,Non-voter,0,0,0,1,Opp,0,0,0,5,59.6,39.28,20.32,20.32,1,1
2023-09-22,Bono,1,Rural,Dormaa Central,1,,,,1,21,Female,Primary,95,Urban,0,0.5,3,3,3,3,3,3,2,2,2,2,2,1,3,3,,Non-voter,0,0,0,1,Opp,0,0,1,5,59.6,39.28,20.32,20.32,1,1
