treatment,treatment_binary,fire_judges,disobey_justice_2,overthrow_institutions,power_institutions,anti_democratic_index,strong_leader,check_corruption,angry,scared,optimistic,nervous,male,age,socioeconomic_level,political_interest,pres_approval,region,morena,nonpartisan,otherpartisan
Control,0,2,1,3,4,2.5,3,4,1,1,3,1,0,33,7,2,5,4,1,0,0
Trash-talking,1,2,1,4,1,2,1,10,5,5,2,4,1,44,1,3,2,4,0,0,1
Trash-talking,1,4,4,4,4,4,4,8,4,4,1,4,0,58,4,3,5,5,1,0,0
Trash-talking,1,3,3,3,3,3,5,5,1,1,1,1,0,21,2,2,3,3,1,0,0
Trash-talking,1,3,3,3,3,3,3,5,3,3,3,3,0,57,3,1,3,1,0,1,0
Control,0,3,3,2,3,2.75,3,5,1,1,2,1,0,25,6,1,3,3,0,1,0
Trash-talking,1,2,4,3,3,3,3,10,3,1,1,1,1,43,3,2,5,3,0,1,0
Trash-talking,1,4,3,3,3,3.25,3,10,4,1,4,1,0,33,4,1,3,2,0,1,0
Control,0,5,4,5,5,4.75,5,10,3,2,4,3,1,77,3,3,5,4,1,0,0
Trash-talking,1,5,5,3,5,4.5,3,10,3,3,3,3,0,38,5,3,5,5,1,0,0
Control,0,4,3,4,4,3.75,4,10,3,3,3,3,1,38,3,3,4,2,0,0,1
Control,0,3,2,3,3,2.75,4,5,3,3,3,2,1,21,2,2,4,1,1,0,0
Trash-talking,1,2,4,4,2,3,5,10,2,1,4,1,1,49,1,4,5,5,1,0,0
Control,0,5,2,4,4,3.75,4,3,2,3,3,2,0,48,5,3,5,5,1,0,0
Control,0,3,3,3,3,3,3,7,3,3,3,3,0,21,6,4,3,5,0,1,0
Control,0,3,4,5,4,4,4,9,1,2,4,3,0,23,2,3,4,4,1,0,0
Trash-talking,1,4,2,4,2,3,4,8,3,1,2,1,0,27,2,1,2,3,0,0,1
Control,0,3,4,4,3,3.5,5,10,1,1,3,1,1,43,2,3,5,4,1,0,0
Control,0,5,1,5,5,4,5,10,2,1,2,1,0,47,4,2,2,2,0,0,1
Trash-talking,1,5,5,1,5,4,2,10,5,2,4,2,0,40,5,3,5,5,1,0,0
