treatment,treatment_binary,fire_judges,disobey_justice_2,overthrow_institutions,power_institutions,anti_democratic_index,strong_leader,check_corruption,angry,scared,optimistic,nervous,male,age,socioeconomic_level,political_interest,pres_approval,region,morena,nonpartisan,otherpartisan
Control,0,1,1,3,1,1.5,1,7,3,4,1,4,1,67,4,4,1,3,0,1,0
Control,0,2,3,3,2,2.5,3,10,1,1,1,1,0,18,3,2,3,2,0,1,0
Control,0,3,2,3,3,2.75,4,8,2,2,3,3,0,55,3,2,2,3,1,0,0
Trash-talking,1,3,3,3,3,3,3,5,1,1,5,1,0,34,3,2,5,6,0,1,0
Control,0,3,3,3,3,3,4,8,3,3,3,3,1,28,3,3,5,4,1,0,0
Control,0,3,3,3,3,3,4,5,3,1,3,2,1,43,6,1,4,5,1,0,0
Control,0,3,3,3,3,3,3,5,4,4,3,4,1,46,5,2,3,1,0,1,0
Control,0,5,1,5,2,3.25,3,10,1,1,1,1,1,43,4,2,1,2,0,0,0
Control,0,1,4,4,4,3.25,3,10,2,1,2,1,0,41,5,2,3,6,0,1,0
Control,0,2,3,2,2,2.25,3,9,1,1,3,1,0,19,3,3,1,2,0,0,0
Trash-talking,1,3,3,3,4,3.25,4,6,2,3,1,1,1,21,3,3,4,6,1,0,0
Trash-talking,1,2,1,3,1,1.75,3,10,2,2,3,1,0,24,4,2,1,3,0,0,0
Control,0,4,3,2,4,3.25,1,2,1,1,3,2,1,24,5,1,3,3,0,1,0
Trash-talking,1,3,3,4,3,3.25,5,8,1,1,1,1,0,24,3,1,5,4,0,1,0
Control,0,4,3,4,4,3.75,4,8,4,3,3,4,0,21,3,3,4,4,1,0,0
Trash-talking,1,2,2,3,3,2.5,3,7,4,3,4,3,0,35,3,1,5,1,1,0,0
Trash-talking,1,3,3,5,3,3.5,3,10,1,1,2,1,1,69,1,4,5,4,1,0,0
Control,0,3,2,4,1,2.5,5,10,5,2,1,4,1,24,2,3,1,3,0,0,1
Control,0,3,3,2,4,3,3,9,1,1,5,3,0,35,2,4,4,1,1,0,0
Control,0,2,2,5,2,2.75,5,10,3,1,4,1,1,28,6,3,4,4,1,0,0
Control,0,3,3,4,2,3,3,8,4,3,2,4,1,60,3,2,3,3,0,0,0
Control,0,1,1,2,1,1.25,2,4,1,2,1,4,1,36,1,4,1,3,0,0,1
Control,0,1,1,1,1,1,2,3,1,2,4,2,1,42,1,3,2,4,1,0,0
Trash-talking,1,1,1,1,3,1.5,3,10,5,3,3,1,0,24,4,1,1,5,0,1,0
Control,0,2,4,2,3,2.75,2,8,2,3,4,3,0,22,3,4,3,2,1,0,0
Trash-talking,1,4,4,3,2,3.25,4,9,5,2,3,3,0,50,5,2,5,5,1,0,0
Control,0,5,2,5,5,4.25,4,10,4,5,1,5,0,43,5,3,4,1,0,0,0
Trash-talking,1,3,2,4,3,3,3,6,3,2,2,2,0,34,5,1,3,5,0,1,0
Control,0,4,4,5,5,4.5,3,7,2,4,4,2,0,55,5,1,3,1,1,0,0
Trash-talking,1,4,4,4,4,4,3,10,1,1,3,1,1,46,5,2,3,1,0,1,0
Control,0,1,1,1,1,1,1,1,1,1,5,1,1,53,1,4,1,5,0,0,1
Trash-talking,1,3,3,4,3,3.25,4,10,2,3,3,2,0,24,3,3,3,3,0,0,1
Control,0,1,1,3,1,1.5,1,9,1,1,1,1,1,53,1,3,1,6,0,1,0
Trash-talking,1,5,4,4,4,4.25,5,4,3,2,2,2,0,25,5,2,3,3,0,1,0
Control,0,4,1,4,2,2.75,4,5,2,3,3,3,1,29,3,3,3,2,0,0,1
Control,0,4,5,2,4,3.75,3,7,1,1,2,1,0,23,4,2,5,3,1,0,0
Trash-talking,1,5,4,5,5,4.75,5,10,4,3,1,3,0,28,4,2,3,1,1,0,0
Trash-talking,1,2,2,3,2,2.25,2,8,4,2,3,4,1,58,3,3,2,6,0,0,1
Trash-talking,1,5,1,5,5,4,4,7,3,3,3,3,0,25,5,3,4,6,1,0,0
Trash-talking,1,2,3,5,4,3.5,4,9,5,3,4,2,1,25,4,3,4,4,1,0,0
Trash-talking,1,2,3,2,3,2.5,2,5,1,5,2,1,0,19,5,3,3,5,0,1,0
Control,0,3,1,2,3,2.25,4,10,3,2,2,3,1,34,5,4,3,6,1,0,0
Trash-talking,1,5,5,4,3,4.25,3,10,5,1,3,1,1,52,1,3,5,1,1,0,0
Trash-talking,1,4,4,3,5,4,3,7,5,2,3,4,1,19,5,2,5,4,1,0,0
Control,0,3,3,4,5,3.75,5,9,4,2,3,5,0,46,3,2,5,2,1,0,0
Trash-talking,1,4,2,4,4,3.5,4,9,2,4,4,3,1,35,4,4,5,4,1,0,0
Trash-talking,1,2,1,4,2,2.25,4,10,4,4,2,2,0,46,3,2,2,6,0,0,0
Control,0,3,4,2,4,3.25,4,9,4,3,3,2,0,20,4,3,4,6,1,0,0
Trash-talking,1,3,1,4,4,3,5,6,3,3,3,3,1,22,6,3,3,5,0,0,1
Trash-talking,1,1,1,2,1,1.25,1,10,4,4,2,3,1,46,1,2,2,4,0,1,0
Control,0,3,3,3,3,3,3,10,1,1,3,1,0,48,3,2,4,2,0,1,0
Control,0,3,2,4,3,3,3,8,2,1,4,1,1,76,3,3,5,6,1,0,0
Trash-talking,1,3,3,4,4,3.5,4,9,4,3,3,3,1,40,3,3,4,2,0,0,1
Control,0,2,2,4,2,2.5,2,10,3,3,1,4,0,51,3,3,3,2,0,0,1
Control,0,3,2,3,4,3,5,10,1,1,3,2,1,21,6,1,4,4,0,1,0
Trash-talking,1,5,3,3,4,3.75,4,8,4,3,3,3,1,34,2,4,4,5,1,0,0
Control,0,4,4,4,3,3.75,4,8,1,1,3,3,0,28,4,2,4,6,1,0,0
Control,0,3,3,3,4,3.25,2,9,2,1,3,1,0,23,4,2,4,6,0,1,0
Trash-talking,1,1,2,1,1,1.25,4,4,2,3,3,3,1,33,1,2,1,2,0,1,0
Control,0,4,2,1,1,2,2,10,4,3,1,4,0,50,4,1,1,3,0,0,0
Control,0,5,3,5,5,4.5,5,8,3,3,4,1,0,35,5,2,5,5,1,0,0
Trash-talking,1,3,3,3,3,3,3,5,1,1,2,1,1,30,5,1,5,2,1,0,0
Trash-talking,1,5,5,5,4,4.75,4,10,5,2,1,4,0,63,5,3,4,5,0,1,0
Control,0,3,3,4,3,3.25,3,8,3,3,2,3,0,57,4,2,4,2,0,1,0
Control,0,1,1,1,1,1,2,7,4,3,2,3,1,60,1,4,3,2,0,1,0
Trash-talking,1,1,4,5,2,3,5,10,1,1,1,1,1,27,6,3,2,4,0,1,0
Control,0,5,5,5,5,5,4,10,1,1,5,2,0,30,5,4,5,3,1,0,0
Trash-talking,1,3,4,4,2,3.25,4,8,2,2,3,3,1,39,6,3,4,3,1,0,0
Trash-talking,1,4,2,3,4,3.25,5,6,1,1,3,1,1,25,3,3,4,4,0,1,0
Trash-talking,1,3,4,4,5,4,4,7,4,3,2,3,1,23,3,3,5,3,1,0,0
Trash-talking,1,4,3,3,3,3.25,3,10,1,1,2,1,1,18,5,2,4,4,0,1,0
Trash-talking,1,3,2,3,5,3.25,3,6,1,1,3,1,0,48,3,3,5,6,1,0,0
Control,0,4,4,2,3,3.25,2,10,3,3,4,1,0,21,5,1,4,5,1,0,0
Control,0,3,4,3,1,2.75,4,10,2,3,1,3,0,45,4,4,4,2,1,0,0
Trash-talking,1,4,2,2,4,3,5,10,4,1,1,1,1,28,3,3,4,3,0,0,1
Control,0,3,4,4,4,3.75,3,10,1,1,4,1,1,32,6,3,5,4,0,0,1
Trash-talking,1,4,2,4,3,3.25,2,6,3,3,3,3,1,37,3,2,3,5,0,1,0
Control,0,4,2,5,5,4,4,10,3,1,1,2,1,27,4,3,4,4,1,0,0
Trash-talking,1,1,1,5,3,2.5,4,10,5,5,3,5,1,34,2,3,1,4,0,1,0
Trash-talking,1,1,1,1,1,1,3,7,5,5,1,5,1,30,2,2,1,1,0,1,0
Trash-talking,1,5,5,5,5,5,2,10,5,3,1,3,0,38,5,3,5,4,1,0,0
Control,0,5,1,4,4,3.5,4,2,3,3,3,2,1,28,4,3,2,1,0,0,1
Control,0,2,4,3,3,3,3,10,4,5,2,4,0,45,5,1,3,4,0,1,0
Trash-talking,1,3,3,3,3,3,3,9,3,3,3,3,0,23,5,2,3,6,1,0,0
Control,0,2,2,4,4,3,2,10,3,1,2,3,0,60,4,3,4,2,0,1,0
Control,0,4,5,4,5,4.5,4,10,2,1,1,1,0,21,4,4,5,2,1,0,0
Trash-talking,1,1,2,2,1,1.5,4,8,4,4,1,4,1,56,3,4,1,6,0,0,1
Control,0,2,2,3,4,2.75,4,10,2,3,3,2,0,40,5,1,4,3,0,1,0
Control,0,3,3,3,3,3,3,10,1,1,3,1,0,40,3,1,5,5,1,0,0
Trash-talking,1,3,2,3,4,3,4,6,2,3,2,3,0,23,4,2,5,6,1,0,0
Trash-talking,1,5,1,5,5,4,5,10,2,1,5,1,1,34,3,4,5,3,1,0,0
Control,0,2,2,4,3,2.75,3,10,4,3,3,3,1,24,3,1,3,2,0,1,0
Trash-talking,1,3,4,4,4,3.75,4,8,4,3,1,3,0,32,5,2,4,3,1,0,0
Control,0,2,1,3,2,2,3,6,2,1,3,1,1,23,2,2,3,2,0,0,1
Control,0,3,3,3,3,3,3,8,2,2,3,3,0,27,5,2,3,3,0,1,0
Control,0,4,4,3,4,3.75,5,10,1,1,5,2,1,52,7,3,5,5,1,0,0
Control,0,3,3,3,3,3,5,10,3,3,3,3,1,20,3,2,5,2,0,1,0
Trash-talking,1,4,2,5,4,3.75,1,10,5,4,2,1,0,22,5,1,3,6,0,1,0
Control,0,2,3,2,2,2.25,3,5,1,1,3,2,0,19,3,2,2,1,1,0,0
Control,0,2,3,2,3,2.5,4,8,2,2,3,2,1,63,3,2,2,6,0,1,0
Control,0,5,2,2,4,3.25,1,5,2,1,2,2,0,23,4,2,5,4,1,0,0
Control,0,3,3,3,3,3,3,5,1,1,1,1,0,38,6,1,3,2,0,1,0
Trash-talking,1,3,3,2,4,3,5,6,3,1,4,2,1,19,2,4,5,1,1,0,0
Control,0,4,1,5,1,2.75,3,8,1,1,3,4,1,36,5,1,3,5,0,1,0
Trash-talking,1,5,5,5,3,4.5,5,10,5,1,3,1,1,55,2,3,5,5,1,0,0
Control,0,1,3,3,1,2,3,6,1,1,3,3,0,22,3,2,2,3,0,0,1
Control,0,2,4,4,1,2.75,4,10,4,1,4,1,0,49,5,2,1,6,0,1,0
Control,0,3,5,5,3,4,4,10,4,1,5,1,1,40,2,4,5,2,1,0,0
Control,0,3,5,5,5,4.5,3,10,1,1,5,1,0,66,5,3,4,3,1,0,0
Trash-talking,1,4,4,5,5,4.5,4,8,2,1,4,2,0,22,2,3,4,5,1,0,0
Trash-talking,1,4,2,4,4,3.5,4,4,2,2,2,2,1,39,2,3,4,2,1,0,0
Control,0,3,3,3,3,3,3,10,1,1,1,1,1,45,3,1,1,6,0,1,0
Control,0,2,4,3,3,3,3,5,1,1,3,1,0,53,3,2,3,3,0,1,0
Trash-talking,1,4,4,3,4,3.75,3,4,5,4,4,3,1,19,2,3,3,2,1,0,0
Trash-talking,1,3,1,5,2,2.75,5,10,4,2,1,3,0,27,5,2,2,4,0,0,1
Trash-talking,1,2,3,3,3,2.75,4,5,3,3,3,3,0,23,3,4,3,3,0,0,1
Trash-talking,1,3,3,3,3,3,3,8,2,2,4,3,0,50,5,3,4,2,0,0,1
Trash-talking,1,1,1,5,2,2.25,2,10,4,4,1,3,0,43,3,2,1,2,0,0,1
Trash-talking,1,4,2,3,5,3.5,3,5,2,1,1,3,1,48,6,3,2,5,1,0,0
Trash-talking,1,2,2,2,3,2.25,2,9,2,1,2,1,0,48,6,3,4,5,1,0,0
Trash-talking,1,2,1,2,4,2.25,5,10,3,4,3,4,1,47,3,3,4,3,0,1,0
Control,0,2,2,4,2,2.5,4,10,1,1,4,2,1,72,3,3,4,6,1,0,0
Control,0,1,4,5,4,3.5,3,10,2,1,2,3,0,33,5,4,4,6,1,0,0
Control,0,2,2,3,3,2.5,4,10,1,1,2,1,0,23,2,2,1,5,0,0,0
Control,0,1,3,3,1,2,3,10,3,3,1,3,1,20,5,1,2,3,0,1,0
Control,0,5,2,4,4,3.75,5,8,1,4,5,3,1,44,2,2,4,3,1,0,0
Trash-talking,1,2,2,3,3,2.5,3,10,3,3,2,3,1,23,2,2,4,5,0,1,0
Control,0,1,1,4,1,1.75,2,6,2,5,1,4,1,47,2,4,2,2,0,0,1
Trash-talking,1,4,4,2,4,3.5,4,8,4,1,3,2,0,32,6,1,4,2,1,0,0
Control,0,3,2,3,4,3,4,10,3,4,2,4,0,59,4,2,4,6,0,1,0
Trash-talking,1,3,3,3,3,3,3,5,3,4,2,2,1,27,5,2,4,6,1,0,0
Control,0,3,1,4,5,3.25,4,7,3,3,3,2,1,25,3,2,2,4,0,0,1
Control,0,4,1,5,4,3.5,4,9,2,1,5,2,1,38,3,2,5,3,1,0,0
Trash-talking,1,1,4,2,1,2,4,9,4,3,1,3,0,22,3,3,2,3,0,1,0
Control,0,3,4,2,3,3,4,10,4,3,2,3,0,41,5,4,3,3,0,0,1
Control,0,2,4,2,2,2.5,2,8,1,1,3,1,1,41,1,2,4,6,1,0,0
Trash-talking,1,4,4,5,3,4,3,7,4,2,3,2,1,36,5,2,4,2,1,0,0
Control,0,1,4,2,3,2.5,4,7,1,1,4,1,0,22,3,3,4,2,1,0,0
Control,0,1,1,1,1,1,2,3,5,3,1,1,0,40,2,3,2,2,0,1,0
Control,0,4,4,4,2,3.5,4,10,4,3,1,2,1,35,4,2,4,4,1,0,0
Trash-talking,1,4,3,4,3,3.5,3,7,2,2,4,3,1,29,7,2,3,4,0,1,0
Control,0,2,3,2,2,2.25,4,6,2,1,3,1,1,29,1,4,4,4,1,0,0
Control,0,3,1,2,4,2.5,2,4,3,3,3,3,0,29,3,3,4,1,1,0,0
Control,0,3,3,3,3,3,3,5,1,1,1,1,0,56,5,1,3,5,0,1,0
Trash-talking,1,2,4,3,3,3,3,7,2,2,1,3,0,23,2,2,4,2,0,1,0
Trash-talking,1,2,3,4,4,3.25,4,10,4,2,1,2,1,36,2,3,4,4,0,0,1
Trash-talking,1,1,2,4,1,2,2,10,4,3,2,3,0,20,4,3,5,4,1,0,0
Control,0,3,4,5,3,3.75,5,10,3,3,2,4,1,34,1,3,5,3,1,0,0
Trash-talking,1,2,3,3,2,2.5,3,6,1,2,1,2,0,18,5,2,4,6,0,1,0
Trash-talking,1,5,3,4,4,4,5,10,5,4,4,3,0,38,2,2,5,3,1,0,0
Trash-talking,1,5,3,3,5,4,3,6,1,2,4,3,1,35,5,2,5,3,1,0,0
Trash-talking,1,4,1,4,4,3.25,4,8,3,2,3,3,1,31,3,2,4,2,0,0,0
Control,0,4,4,2,5,3.75,4,10,5,1,1,1,0,56,4,2,5,5,0,1,0
Trash-talking,1,3,4,3,4,3.5,4,8,3,2,1,1,0,24,4,2,3,1,0,1,0
Control,0,3,4,4,3,3.5,3,9,3,1,4,2,0,30,6,3,4,4,0,1,0
Trash-talking,1,5,5,3,5,4.5,5,10,4,2,3,2,1,45,5,3,5,6,1,0,0
Control,0,1,1,2,1,1.25,2,5,1,1,2,1,1,63,1,4,2,2,0,0,0
Control,0,3,4,4,4,3.75,3,10,3,2,1,1,1,27,6,3,2,5,0,0,1
Trash-talking,1,1,2,1,1,1.25,2,3,5,4,2,4,1,62,5,4,1,3,0,1,0
Trash-talking,1,4,4,3,3,3.5,2,8,4,3,2,4,0,58,3,2,4,5,1,0,0
Trash-talking,1,1,1,5,1,2,5,10,4,2,1,1,1,43,5,3,1,4,0,1,0
Control,0,1,1,5,1,2,2,10,3,4,2,2,1,59,3,4,1,6,0,0,1
Trash-talking,1,4,2,4,4,3.5,4,10,3,2,2,2,0,22,6,2,3,3,1,0,0
Control,0,3,3,3,2,2.75,3,5,1,1,1,1,1,21,5,2,4,3,0,1,0
Trash-talking,1,4,2,4,4,3.5,4,5,2,2,2,2,0,46,3,2,1,3,0,0,1
Trash-talking,1,2,5,3,4,3.5,4,10,3,3,4,3,1,43,5,2,4,5,1,0,0
Trash-talking,1,4,2,4,5,3.75,5,10,1,1,5,2,0,23,1,3,4,4,1,0,0
Trash-talking,1,2,4,5,2,3.25,5,10,4,4,2,4,1,60,2,4,5,6,1,0,0
Trash-talking,1,2,4,4,5,3.75,4,7,3,2,2,3,1,54,1,3,5,2,1,0,0
Control,0,3,3,3,4,3.25,1,9,2,1,4,3,1,25,6,2,5,4,1,0,0
Trash-talking,1,4,4,4,3,3.75,5,10,4,2,1,1,0,31,5,3,4,5,1,0,0
Control,0,5,3,5,2,3.75,5,5,1,1,3,1,1,26,3,3,5,2,1,0,0
Control,0,2,4,3,4,3.25,4,7,1,2,3,1,0,21,5,3,4,6,1,0,0
Control,0,4,4,3,3,3.5,4,10,3,3,3,3,1,22,3,3,4,4,1,0,0
Control,0,3,4,4,4,3.75,5,8,3,3,3,2,0,21,2,3,3,2,0,0,1
Trash-talking,1,2,4,2,2,2.5,4,5,3,1,2,1,0,22,2,3,3,6,1,0,0
Control,0,2,4,3,1,2.5,3,9,4,3,2,3,0,24,3,3,2,3,0,0,0
Trash-talking,1,4,2,4,4,3.5,5,5,3,1,2,1,1,50,4,3,3,6,1,0,0
Trash-talking,1,2,4,4,2,3,2,4,4,3,2,5,0,55,3,2,2,3,0,1,0
Trash-talking,1,1,3,2,1,1.75,4,8,3,1,3,1,1,52,6,3,4,3,0,0,0
Trash-talking,1,1,3,3,1,2,3,1,2,1,1,1,1,23,3,2,5,4,1,0,0
Trash-talking,1,3,2,4,3,3,2,10,3,2,1,3,1,68,3,3,1,3,0,1,0
Trash-talking,1,4,4,4,2,3.5,3,10,3,2,3,3,0,31,5,2,2,2,0,0,1
Trash-talking,1,2,2,2,2,2,2,8,3,1,2,3,1,65,3,3,4,6,1,0,0
Trash-talking,1,2,4,3,4,3.25,3,8,3,2,2,5,1,18,4,3,4,4,1,0,0
Control,0,2,5,5,5,4.25,5,10,1,1,4,3,0,40,2,1,5,2,1,0,0
Control,0,1,1,3,1,1.5,1,10,4,5,1,3,1,41,6,2,1,5,0,1,0
Trash-talking,1,5,2,5,5,4.25,4,10,1,1,3,1,1,35,5,1,4,2,0,1,0
Control,0,3,4,4,4,3.75,3,10,3,3,2,2,0,32,5,2,5,5,1,0,0
Trash-talking,1,4,5,3,4,4,5,7,1,1,1,1,1,18,3,1,4,6,0,1,0
Control,0,3,3,3,3,3,3,4,3,3,2,1,0,42,5,2,5,1,1,0,0
Control,0,2,2,5,5,3.5,5,8,1,1,4,1,0,18,2,4,5,4,1,0,0
Trash-talking,1,3,2,3,3,2.75,3,10,4,3,1,2,0,72,5,2,3,2,0,0,1
Trash-talking,1,1,5,1,1,2,1,10,1,1,1,1,0,59,2,4,1,2,0,1,0
Trash-talking,1,3,4,3,4,3.5,4,3,2,1,1,2,0,19,4,1,3,5,1,0,0
Control,0,1,1,1,1,1,5,10,4,1,3,4,0,56,1,3,2,1,0,1,0
Trash-talking,1,1,2,1,1,1.25,1,5,3,3,3,3,0,22,4,3,1,5,0,0,1
Trash-talking,1,2,2,2,1,1.75,2,8,4,2,3,3,0,54,3,3,2,3,0,0,1
Trash-talking,1,3,1,4,3,2.75,5,10,4,1,2,3,1,39,1,2,4,4,0,1,0
Trash-talking,1,3,3,2,3,2.75,4,7,1,1,3,1,1,40,5,3,5,3,1,0,0
Control,0,5,1,4,4,3.5,5,10,5,4,4,4,1,43,2,4,4,4,1,0,0
Trash-talking,1,4,5,5,5,4.75,2,10,5,2,4,2,1,24,4,4,4,4,1,0,0
Trash-talking,1,5,4,4,3,4,4,9,3,1,4,1,1,66,1,4,5,4,1,0,0
Trash-talking,1,3,2,4,3,3,4,5,2,2,2,3,1,26,5,4,3,3,0,0,0
Trash-talking,1,3,2,3,4,3,3,8,1,3,2,2,1,23,3,1,3,2,0,1,0
Control,0,2,2,3,4,2.75,4,7,2,3,3,4,1,28,6,2,4,5,0,1,0
Trash-talking,1,3,2,3,3,2.75,3,7,3,3,3,3,0,32,6,2,2,2,0,1,0
Control,0,3,5,3,2,3.25,4,6,1,1,3,2,0,24,2,3,5,4,1,0,0
Control,0,1,1,3,1,1.5,2,10,1,5,2,1,0,55,3,2,1,3,0,0,1
Control,0,1,3,2,4,2.5,2,7,1,1,5,1,1,61,1,3,5,3,1,0,0
Trash-talking,1,5,1,5,5,4,4,10,5,4,4,4,1,69,3,4,5,3,1,0,0
Trash-talking,1,3,3,3,3,3,3,5,2,2,2,1,1,27,4,2,4,4,1,0,0
Trash-talking,1,5,2,3,3,3.25,4,7,4,2,4,1,1,29,2,4,2,2,0,0,1
Control,0,4,4,3,4,3.75,4,8,1,1,2,1,1,26,3,3,4,4,1,0,0
Control,0,4,4,2,4,3.5,3,10,2,1,2,2,0,25,5,2,4,4,0,1,0
Control,0,3,2,3,3,2.75,4,10,2,1,3,1,1,34,5,3,5,3,1,0,0
Trash-talking,1,1,1,1,1,1,1,1,5,5,1,5,1,31,1,3,1,3,0,0,1
Trash-talking,1,3,4,5,4,4,5,9,3,1,4,1,0,22,4,3,5,6,0,1,0
Trash-talking,1,3,2,3,3,2.75,3,7,3,3,3,3,0,20,7,3,4,1,0,1,0
Trash-talking,1,1,1,1,1,1,1,3,5,1,2,1,1,59,1,3,1,6,0,1,0
Control,0,3,2,3,4,3,4,7,3,4,3,2,1,24,5,1,4,2,0,1,0
Trash-talking,1,4,2,3,4,3.25,4,5,4,1,3,3,0,28,6,2,5,2,0,0,1
Trash-talking,1,3,4,4,4,3.75,4,5,4,3,2,2,1,32,2,3,2,6,0,1,0
Trash-talking,1,1,1,5,1,2,5,3,3,3,3,3,0,41,1,4,2,6,0,1,0
Trash-talking,1,2,4,2,2,2.5,1,10,1,2,1,2,0,62,2,2,1,6,0,0,1
Trash-talking,1,2,1,5,5,3.25,5,8,4,1,1,1,1,21,3,3,4,3,1,0,0
Trash-talking,1,3,3,3,3,3,3,6,3,3,3,3,1,80,5,2,3,6,0,1,0
Trash-talking,1,1,2,3,1,1.75,3,10,5,4,1,5,0,62,4,4,1,3,0,0,1
Trash-talking,1,2,5,4,2,3.25,5,10,1,1,5,1,1,76,2,4,5,3,1,0,0
Trash-talking,1,2,3,3,2,2.5,2,5,1,1,1,1,1,20,4,1,4,2,1,0,0
Control,0,2,3,3,3,2.75,3,7,1,2,4,2,0,20,6,1,4,5,0,1,0
Trash-talking,1,5,1,5,5,4,3,10,1,2,4,4,1,44,4,4,5,1,1,0,0
Trash-talking,1,3,2,3,3,2.75,3,7,4,3,2,3,0,23,3,2,3,2,1,0,0
Control,0,4,4,3,4,3.75,3,5,2,4,3,3,0,21,5,3,3,3,1,0,0
Control,0,1,2,4,3,2.5,2,4,2,3,2,1,0,20,2,3,2,6,0,1,0
Control,0,3,2,5,4,3.5,4,8,2,3,3,3,0,32,1,3,4,1,0,0,0
Trash-talking,1,4,3,5,4,4,3,9,3,3,1,3,0,41,3,3,3,1,1,0,0
Trash-talking,1,2,2,5,2,2.75,3,9,4,2,1,1,0,33,3,3,3,5,1,0,0
Control,0,3,2,3,2,2.5,5,8,4,2,3,3,1,23,2,2,2,6,0,0,0
Control,0,3,4,4,5,4,1,9,2,1,1,1,1,42,2,1,3,6,0,1,0
Control,0,3,4,3,3,3.25,5,10,4,1,1,1,1,48,1,3,5,2,1,0,0
Trash-talking,1,3,3,2,4,3,3,7,1,1,2,1,1,18,3,3,5,4,1,0,0
Control,0,2,2,2,2,2,2,6,1,3,2,3,1,68,1,3,4,2,0,0,1
Control,0,3,4,3,3,3.25,4,8,1,1,3,3,1,20,4,2,5,2,0,0,0
Control,0,4,2,4,4,3.5,5,5,3,3,3,3,1,21,5,4,5,4,1,0,0
Trash-talking,1,3,4,2,3,3,5,7,4,3,4,3,1,23,2,3,4,4,1,0,0
Control,0,3,3,2,4,3,5,7,2,3,3,3,1,36,3,4,4,3,1,0,0
Trash-talking,1,2,2,2,4,2.5,2,10,2,2,2,1,0,35,2,1,3,1,0,1,0
Trash-talking,1,4,4,4,2,3.5,3,10,4,1,4,1,0,34,5,2,2,3,0,1,0
Trash-talking,1,3,5,5,3,4,4,10,2,3,5,3,0,41,5,3,2,2,0,1,0
Control,0,2,2,4,3,2.75,3,8,1,1,1,1,1,25,2,1,3,3,0,0,0
Trash-talking,1,4,3,5,3,3.75,4,10,2,2,1,4,0,30,5,3,5,4,1,0,0
Trash-talking,1,3,3,4,2,3,3,9,1,1,2,2,0,22,2,2,4,5,1,0,0
Trash-talking,1,3,2,2,4,2.75,4,7,3,2,1,2,1,23,3,3,5,2,1,0,0
Control,0,3,3,3,3,3,4,8,4,4,1,4,0,44,5,2,4,5,1,0,0
Trash-talking,1,2,1,3,3,2.25,4,5,4,2,1,1,0,23,5,3,4,4,0,1,0
Trash-talking,1,3,4,4,3,3.5,2,9,4,3,1,2,0,33,5,3,4,1,1,0,0
Control,0,1,3,1,2,1.75,4,5,1,1,3,1,0,22,4,1,2,6,0,1,0
Trash-talking,1,4,2,3,3,3,3,9,3,3,3,3,1,18,3,1,4,1,0,1,0
Control,0,2,2,5,2,2.75,5,10,4,4,5,4,1,56,3,4,5,2,0,1,0
Control,0,4,3,3,3,3.25,5,10,2,1,4,3,1,31,4,1,5,2,0,1,0
Control,0,4,5,3,3,3.75,5,10,1,1,1,1,0,20,5,3,4,3,1,0,0
Trash-talking,1,4,4,4,4,4,5,10,5,3,2,3,0,22,2,3,5,6,1,0,0
Control,0,4,2,4,3,3.25,4,9,1,1,3,1,0,31,4,1,4,1,1,0,0
Control,0,4,2,4,4,3.5,5,8,4,3,4,4,0,29,4,1,2,1,1,0,0
Trash-talking,1,2,2,3,1,2,1,10,1,3,4,2,1,45,3,2,3,6,0,1,0
Control,0,3,3,4,2,3,3,7,1,1,3,2,0,20,5,1,4,3,0,1,0
Trash-talking,1,4,1,4,4,3.25,4,7,3,1,3,1,1,36,5,2,4,6,1,0,0
Trash-talking,1,4,4,4,4,4,4,4,4,1,5,1,0,29,5,2,4,6,1,0,0
Control,0,3,3,3,3,3,3,8,3,3,3,3,1,33,5,2,4,6,0,1,0
Control,0,1,1,3,1,1.5,1,8,2,2,4,3,1,62,3,3,1,6,0,0,1
Control,0,4,4,2,4,3.5,3,10,4,3,4,2,1,47,4,3,5,3,0,0,0
Trash-talking,1,4,4,4,4,4,4,8,3,1,4,1,1,18,3,3,5,4,1,0,0
Control,0,2,2,1,4,2.25,4,6,3,1,3,1,0,39,4,2,5,1,1,0,0
Trash-talking,1,5,5,4,4,4.5,4,10,4,1,4,1,1,65,3,3,5,6,1,0,0
Control,0,2,2,2,2,2,4,6,4,1,4,1,1,53,3,3,4,2,1,0,0
Trash-talking,1,2,1,5,1,2.25,4,10,3,1,2,4,0,40,2,3,1,1,0,0,0
Control,0,1,3,3,2,2.25,3,9,5,3,3,3,1,23,1,3,2,3,0,0,1
Control,0,3,4,4,3,3.5,4,9,1,1,3,2,0,26,5,2,3,5,0,1,0
Control,0,4,3,3,5,3.75,4,10,3,1,4,3,0,56,6,3,5,5,1,0,0
Trash-talking,1,1,2,2,1,1.5,2,8,4,3,2,3,1,48,1,3,1,3,0,0,1
Control,0,3,5,5,5,4.5,5,10,3,1,3,1,1,23,5,2,5,3,0,0,0
Control,0,4,2,3,4,3.25,3,8,2,2,3,3,0,28,3,3,4,1,1,0,0
Control,0,3,2,4,3,3,2,10,2,3,2,3,0,28,5,2,2,3,0,0,1
Trash-talking,1,3,3,3,3,3,3,10,3,1,1,1,1,42,3,2,3,4,0,0,1
Control,0,5,2,4,3,3.5,3,8,2,3,2,1,1,23,4,3,5,6,1,0,0
Control,0,3,2,3,3,2.75,4,6,3,1,3,4,0,56,4,2,4,3,1,0,0
