stateabb,ccode,year,region,trust_military,trust_military_l1,trust_military_mod,trust_police,trust_police_z,trust_judiciary,trust_judiciary_z,gov_corrupt,gov_corrupt_z,gov_conf,lead_approve,trust_financial_inst,living_std_improve,military_dim,military_dim_z_mavg2,military_dim_mavg2,military_rule,military_leader,conscript,conscript_time,spend_soldier_ln,spend_soldier_z_ln,spend_soldier_z_ln_mavg2,personnel_pc_ln,appointment_fa,crisis_current,crisis_lag1,crisis_lag2,crisis_time,crisis_time_z,crisis_victory,crisis_tie,crisis_window2,crisis_window5,civwar,democracy_lib,polity,jud_corrupt,jud_high_ind,jud_low_ind,ideology_election,gdp_pc_ln,gdp_growth,population_ln,life_expectancy,hrights
USA,2,2006,5,0.86,,0.777982711791992,0.79,1.02046966552734,0.59,0.636629581451416,0.59,-0.381642431020737,0.56,0.56,0.76,0.66,0,-0.659712851047516,0,0,0,0,34,12.728798866272,1.67665934562683,1.89958012104034,-3.03071761131287,1.46,1,0,0,0,-1.23476207256317,0,1,1,1,0,,10,1.91,2.326,1.884,,3.99039053916931,0.589999973773956,10.3747901916504,78,0.100000001490116
USA,2,2007,5,0.87,0.860000014305115,0.781834185123444,0.78,0.956862509250641,0.55,0.411881119012833,0.67,0.036671195179224,0.39,0.3,0.74,0.62,0,-0.659712851047516,0,0,0,0,35,12.8122110366821,1.73107707500458,1.91726875305176,-3.06733727455139,1.46,0,1,0,1,-1.18638837337494,0,1,1,1,0,0.813000023365021,10,1.91,2.326,1.884,,3.99144387245178,0.0570000000298023,10.3852138519287,78.2,0.200000002980232
USA,2,2008,5,0.9,0.870000004768372,0.792992472648621,0.81,1.14768314361572,0.61,0.749004185199738,0.72,0.298117130994797,0.38,0.29,0.68,0.5,0,-0.659712851047516,0,0,0,0,36,12.9263229370117,1.80552303791046,1.94040882587433,-3.08188199996948,1.46,0,0,1,2,-1.13801467418671,0,1,1,1,0,0.842000007629395,10,1.91,2.326,1.884,2,3.98441815376282,-0.379000008106232,10.3944358825684,78.4,0.200000002980232
USA,2,2009,5,0.92,0.899999976158142,0.800112366676331,0.79,1.02046966552734,0.62,0.805191278457642,0.66,-0.0156179303303361,0.5,0.55,0.46,0.41,0,-0.659712851047516,0,0,0,0,37,12.9706630706787,1.83445024490356,1.96811461448669,-3.05767893791199,1.46,1,0,0,0,-1.23476207256317,0,1,1,1,0,0.846000015735626,10,1.91,2.326,1.884,,3.96647334098816,-0.955999970436096,10.3978652954102,78.6,0.200000002980232
USA,2,2010,5,0.91,0.920000016689301,0.796583592891693,0.79,1.02046966552734,0.57,0.524255335330963,0.75,0.45498451590538,0.42,0.39,0.43,0.51,0,-0.659712851047516,0,0,0,0,38,12.9915933609009,1.84810507297516,1.98866307735443,-3.04414415359497,1.46,0,1,0,1,-1.18638837337494,0,1,1,1,0,0.853999972343445,10,1.91,2.533,2.022,,3.96876239776611,0.120999999344349,10.4099569320679,78.9,0.300000011920929
USA,2,2011,5,0.88,0.910000026226044,0.785618901252747,0.79,1.02046966552734,0.56,0.468068242073059,0.73,0.350406259298325,0.38,0.43,0.47,0.5,0,-0.659712851047516,0,0,0,0,39,12.9922037124634,1.84850323200226,1.99620974063873,-3.06413245201111,1.46,1,0,0,0,-1.23476207256317,1,0,1,1,0,0.856000006198883,10,1.91,2.533,2.022,,3.97407722473145,0.282000005245209,10.4197731018066,78.9,0.400000005960465
USA,2,2012,5,0.9,0.879999995231628,0.792992472648621,0.78,0.956862509250641,0.48,0.018570814281702,0.73,0.350406259298325,0.35,0.35,0.37,0.5,0,-0.659712851047516,0,0,0,0,40,12.9419069290161,1.81568992137909,1.99291574954987,-3.06655192375183,1.46,0,1,0,1,-1.18638837337494,1,0,1,1,0,0.851000010967255,10,1.91,2.533,2.022,,3.98333859443665,0.495000004768372,10.4253826141357,79,0.400000005960465
USA,2,2013,5,0.87,0.899999976158142,0.781834185123444,0.78,0.956862509250641,0.46,-0.0938034206628799,0.79,0.664141356945038,0.29,0.33,0.47,0.55,0,-0.659712851047516,0,0,0,0,41,12.8859834671021,1.77920579910278,1.9808177947998,-3.10443806648254,1.46,1,0,0,0,-1.23476207256317,0,1,1,1,0,0.850000023841858,10,1.91,2.625,2.407,,3.99809050559998,0.797999978065491,10.4315614700317,79.1,0.5
USA,2,2014,5,0.91,0.870000004768372,0.796583592891693,0.76,0.829649090766907,0.59,0.636629581451416,0.75,0.45498451590538,0.35,0.35,0.53,0.57,0,-0.659712851047516,0,0,0,0,42,12.8717184066772,1.76989924907684,1.96701645851135,-3.13132429122925,1.46,0,1,0,1,-1.18638837337494,0,1,1,1,0,0.852999985218048,10,1.91,2.625,2.407,,4.0142183303833,0.885999977588654,10.4398670196533,79.1,0.600000023841858
USA,2,2015,5,0.88,0.910000026226044,0.785618901252747,0.74,0.702435612678528,0.51,0.187132328748703,0.74,0.402695387601852,0.35,0.38,0.5,0.55,0,-0.659712851047516,0,0,0,0,43,12.9400472640991,1.81447672843933,1.96680343151093,-3.17405986785889,1.46,1,0,0,0,-1.23476207256317,0,1,1,1,0,0.852999985218048,10,1.91,2.625,2.407,,4.03717422485352,1.28600001335144,10.4422826766968,79,0.400000005960465
